Category,Aantal per 100.000 inwoners,Aantal
Leeuwarden,25.8,32
Leiden,28.8,36
Leiderdorp,37.0,10
Leidschendam-Voorburg,26.1,20
Lelystad,62.3,49
Leudal,147.6,53
Leusden,26.3,8
Lingewaard,60.1,28
Lisse,26.1,6
Lochem,32.6,11
Loon op Zand,85.4,20
Lopik,124.4,18
Loppersum,0.0,0
Losser,30.9,7
Maasdriel,59.9,15
Maasgouw,108.5,26
Maassluis,42.1,14
Maastricht,122.6,149
Medemblik,37.7,17
Meerssen,90.3,17
Meierijstad,208.1,169
Meppel,17.7,6
Middelburg,28.7,14
Midden-Delfland,20.7,4
Midden-Drenthe,18.1,6
Midden-Groningen,9.9,6
Mill en Sint Hubert,82.3,9
Moerdijk,35.0,13
Molenlanden,38.7,17
Montferland,27.8,10
Montfoort,86.2,12
Mook en Middelaar,76.5,6
Neder-Betuwe,127.4,31
Nederweert,164.5,28
Nieuwegein,58.3,37
Nieuwkoop,27.8,8
Nijkerk,48.6,21
Nijmegen,64.7,115
Nissewaard,44.6,38
Noardeast-Frysl̢n,13.3,6
Noord-Beveland,13.5,1
Noordenveld,6.4,2
Noordoostpolder,27.5,13
Noordwijk,32.2,14
"Nuenen, Gerwen en Nederwetten",64.2,15
Nunspeet,118.5,33
Oegstgeest,28.2,7
Oirschot,64.1,12
Oisterwijk,61.0,16
Oldambt,10.5,4
Oldebroek,105.7,25
Oldenzaal,44.0,14
Olst-Wijhe,65.7,12
Ommen,50.0,9
Oost Gelre,30.4,9
Oosterhout,69.7,39
Ooststellingwerf,11.8,3
Oostzaan,102.7,10
Opmeer,8.4,1
Opsterland,20.2,6
Oss,127.3,117
Oude IJsselstreek,30.5,12
Ouder-Amstel,35.6,5
Oudewater,244.5,25
Overbetuwe,114.8,55
Papendrecht,21.8,7
Peel en Maas,320.1,139
Pekela,32.8,4
Pijnacker-Nootdorp,39.8,22
Purmerend,75.1,61
Putten,12.4,3
Raalte,58.3,22
Reimerswaal,17.6,4
